#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	S    	P    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
43        	5         	ok              	4.5350000000e-03	1.0448000000e+03	5.7866450346e+16	3.1438397763e+16	2.6008785504e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
44        	5         	ok              	3.5940000000e-03	1.0420000000e+03	4.5982540045e+16	2.4981967024e+16	2.6008778844e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
45        	5         	ok              	2.8480000000e-03	1.0396000000e+03	3.6522141915e+16	1.9842207688e+16	2.6008774150e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
46        	5         	ok              	2.2570000000e-03	1.0374000000e+03	2.9004660494e+16	1.5758018005e+16	2.6008770877e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
47        	5         	ok              	1.7890000000e-03	1.0346000000e+03	2.3052620506e+16	1.2524319654e+16	2.6008768694e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
48        	5         	ok              	1.4170000000e-03	1.0318000000e+03	1.8308667394e+16	9.9469653170e+15	2.6008767134e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
49        	5         	ok              	1.1230000000e-03	1.0290000000e+03	1.4549456521e+16	7.9046138403e+15	2.6008766003e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
50        	5         	ok              	8.9020000000e-04	1.0263000000e+03	1.1563668586e+16	6.2824571912e+15	2.6008765151e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
51        	5         	ok              	7.0550000000e-04	1.0234000000e+03	9.1903906075e+15	4.9930726183e+15	2.6008764510e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
52        	5         	ok              	5.5910000000e-04	1.0206000000e+03	7.3032519632e+15	3.9678039479e+15	2.6008763987e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
53        	5         	ok              	4.4310000000e-04	1.0180000000e+03	5.8027828690e+15	3.1526100013e+15	2.6008763530e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
54        	5         	ok              	3.5110000000e-04	1.0136000000e+03	4.6179217732e+15	2.5088835532e+15	2.6008763288e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
55        	5         	ok              	2.7830000000e-04	1.0081000000e+03	3.6803738306e+15	1.9995205343e+15	2.6008763180e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
56        	5         	ok              	2.2050000000e-04	1.0019000000e+03	2.9340435731e+15	1.5940446944e+15	2.6008763157e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
57        	5         	ok              	1.7480000000e-04	9.9430000000e+02	2.3437232739e+15	1.2733279316e+15	2.6008763267e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
58        	5         	ok              	1.3850000000e-04	9.8650000000e+02	1.8716947828e+15	1.0168782557e+15	2.6008763395e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
59        	5         	ok              	1.0970000000e-04	9.7870000000e+02	1.4943054739e+15	8.1184536622e+14	2.6008763522e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
60        	5         	ok              	8.6970000000e-05	9.7010000000e+02	1.1951855027e+15	6.4933564275e+14	2.6008763704e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
61        	5         	ok              	6.8930000000e-05	9.6020000000e+02	9.5703744931e+14	5.1995152199e+14	2.6008763958e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
62        	5         	ok              	5.4620000000e-05	9.5030000000e+02	7.6625500771e+14	4.1630079810e+14	2.6008764189e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
63        	5         	ok              	4.3290000000e-05	9.4020000000e+02	6.1383224983e+14	3.3349061444e+14	2.6008764408e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
64        	5         	ok              	3.4300000000e-05	9.2920000000e+02	4.9211577394e+14	2.6736293240e+14	2.6008764648e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
65        	5         	ok              	2.7190000000e-05	9.1920000000e+02	3.9434974258e+14	2.1424735491e+14	2.6008764818e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
66        	5         	ok              	2.1540000000e-05	9.0990000000e+02	3.1559811878e+14	1.7146216806e+14	2.6008764943e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
67        	5         	ok              	1.7070000000e-05	9.0030000000e+02	2.5277181389e+14	1.3732909179e+14	2.6008765069e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
68        	5         	ok              	1.3530000000e-05	8.9180000000e+02	2.0226125790e+14	1.0988707301e+14	2.6008765147e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
69        	5         	ok              	1.0720000000e-05	8.8450000000e+02	1.6157691951e+14	8.7783567212e+13	2.6008765182e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
70        	5         	ok              	8.4980000000e-06	8.7810000000e+02	1.2901943199e+14	7.0095320615e+13	2.6008765187e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
71        	5         	ok              	6.7340000000e-06	8.7270000000e+02	1.0287041967e+14	5.5888752145e+13	2.6008765158e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
72        	5         	ok              	5.3370000000e-06	8.6840000000e+02	8.1933170813e+13	4.4513696968e+13	2.6008765089e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
73        	5         	ok              	4.2290000000e-06	8.6510000000e+02	6.5170904060e+13	3.5406879265e+13	2.6008764978e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
74        	5         	ok              	3.3520000000e-06	8.6280000000e+02	5.1793617275e+13	2.8139096605e+13	2.6008764813e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
75        	5         	ok              	2.6560000000e-06	8.6130000000e+02	4.1110805809e+13	2.2335202814e+13	2.6008764585e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
76        	5         	ok              	2.1050000000e-06	8.6050000000e+02	3.2612462020e+13	1.7718114441e+13	2.6008764278e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
77        	5         	ok              	1.6680000000e-06	8.6060000000e+02	2.5839080693e+13	1.4038185650e+13	2.6008763848e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
78        	5         	ok              	1.3220000000e-06	8.6150000000e+02	2.0457780614e+13	1.1114564495e+13	2.6008763248e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
79        	5         	ok              	1.0480000000e-06	8.6300000000e+02	1.6189476914e+13	8.7956261921e+12	2.6008762426e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
